Time,num_affected
0,100
0.25,100
0.5,100
0.75,100
1,100
1.25,101
1.5,101
1.75,101
2,101
2.25,101
2.5,102
2.75,102
3,102
3.25,102
3.5,102
3.75,102
4,102
4.25,102
4.5,102
4.75,102
5,102
5.25,102
5.5,102
5.75,102
6,103
6.25,103
6.5,103
6.75,103
7,104
7.25,104
7.5,104
7.75,104
8,104
8.25,104
8.5,104
8.75,104
9,104
9.25,104
9.5,105
9.75,105
10,105
10.25,105
10.5,105
10.75,105
11,106
11.25,106
11.5,106
11.75,106
12,106
12.25,107
12.5,108
12.75,108
13,108
13.25,108
13.5,108
13.75,108
14,108
14.25,108
14.5,108
14.75,108
15,108
15.25,109
15.5,109
15.75,109
16,109
16.25,109
16.5,109
16.75,109
17,110
17.25,110
17.5,110
17.75,110
18,110
18.25,110
18.5,110
18.75,110
19,110
19.25,110
19.5,110
19.75,110
20,110
20.25,110
20.5,110
20.75,110
21,110
21.25,110
21.5,110
21.75,110
22,110
22.25,110
22.5,110
22.75,110
23,110
23.25,110
23.5,110
23.75,110
24,110
24.25,110
24.5,110
24.75,110
25,110
25.25,110
25.5,110
25.75,110
26,110
26.25,110
26.5,110
26.75,110
27,110
27.25,110
27.5,110
27.75,111
28,111
28.25,111
28.5,111
28.75,111
29,111
29.25,111
29.5,111
29.75,111
30,111
30.25,111
30.5,111
30.75,111
31,111
31.25,111
31.5,111
31.75,111
32,111
32.25,111
32.5,111
32.75,111
33,111
33.25,111
33.5,111
33.75,111
34,111
34.25,111
34.5,111
34.75,111
35,111
35.25,111
35.5,111
35.75,111
36,111
36.25,111
36.5,111
36.75,111
37,111
37.25,111
37.5,111
37.75,111
38,111
38.25,111
38.5,111
38.75,111
39,111
39.25,111
39.5,111
39.75,111
40,111
40.25,111
40.5,111
40.75,111
41,112
41.25,112
41.5,112
41.75,112
42,112
42.25,112
42.5,112
42.75,112
43,112
43.25,112
43.5,112
43.75,112
44,112
44.25,112
44.5,112
44.75,112
45,112
45.25,112
45.5,112
45.75,112
46,112
46.25,112
46.5,112
46.75,112
47,112
47.25,112
47.5,112
47.75,112
48,112
48.25,112
48.5,112
48.75,112
49,112
49.25,112
49.5,112
49.75,112
50,112
50.25,112
50.5,112
50.75,112
51,112
51.25,112
51.5,112
51.75,112
52,112
52.25,112
52.5,112
52.75,112
53,112
53.25,112
53.5,112
53.75,112
54,112
54.25,112
54.5,112
54.75,112
55,112
55.25,112
55.5,112
55.75,112
56,112
56.25,112
56.5,112
56.75,112
57,112
57.25,112
57.5,112
57.75,112
58,112
58.25,112
58.5,112
58.75,112
59,112
59.25,112
59.5,112
59.75,112
60,112
60.25,112
60.5,112
60.75,112
61,112
61.25,112
61.5,112
61.75,112
62,112
62.25,112
62.5,112
62.75,112
63,112
63.25,112
63.5,112
63.75,112
64,112
64.25,112
64.5,112
64.75,112
65,112
65.25,112
65.5,112
65.75,112
66,112
66.25,112
66.5,112
66.75,112
67,112
67.25,112
67.5,112
67.75,112
68,112
68.25,112
68.5,112
68.75,112
69,112
69.25,112
69.5,112
69.75,112
70,112
70.25,112
70.5,112
70.75,112
71,112
71.25,112
71.5,112
71.75,112
72,112
72.25,112
72.5,112
72.75,112
73,112
73.25,112
73.5,112
73.75,112
74,112
74.25,112
74.5,112
74.75,112
75,112
75.25,112
75.5,112
75.75,112
76,112
76.25,112
76.5,112
76.75,112
77,112
77.25,112
77.5,112
77.75,112
78,112
78.25,112
78.5,112
78.75,112
79,112
79.25,112
79.5,112
79.75,112
80,112
80.25,112
80.5,112
80.75,112
81,112
81.25,112
81.5,112
81.75,112
82,112
82.25,112
82.5,112
82.75,112
83,112
83.25,112
83.5,112
83.75,112
84,112
84.25,112
84.5,112
84.75,112
85,112
85.25,112
85.5,112
85.75,112
86,112
86.25,112
86.5,112
86.75,112
87,112
87.25,112
87.5,112
87.75,112
88,112
88.25,112
88.5,112
88.75,112
89,112
89.25,112
89.5,112
89.75,112
90,112
90.25,112
90.5,112
90.75,112
91,112
91.25,112
91.5,112
91.75,112
92,112
92.25,112
92.5,112
92.75,112
93,112
93.25,112
93.5,112
93.75,112
94,112
94.25,112
94.5,112
94.75,112
95,112
95.25,112
95.5,112
95.75,112
96,112
96.25,112
96.5,112
96.75,112
97,112
97.25,112
97.5,112
97.75,112
98,112
98.25,112
98.5,112
98.75,112
99,112
99.25,112
99.5,112
99.75,112
100,112
100.25,112
100.5,112
100.75,112
101,112
101.25,112
101.5,112
101.75,112
102,112
102.25,112
102.5,112
102.75,112
103,112
103.25,112
103.5,112
103.75,112
104,112
104.25,112
104.5,112
104.75,112
105,112
105.25,112
105.5,112
105.75,112
106,112
106.25,112
106.5,112
106.75,112
107,112
107.25,112
107.5,112
107.75,112
108,112
108.25,112
108.5,112
108.75,112
109,112
109.25,112
109.5,112
109.75,112
110,112
110.25,112
110.5,112
110.75,112
111,112
111.25,112
111.5,112
111.75,112
112,112
112.25,112
112.5,112
112.75,112
113,112
113.25,112
113.5,112
113.75,112
114,112
114.25,112
114.5,112
114.75,112
115,112
115.25,112
115.5,112
115.75,112
116,112
116.25,112
116.5,112
116.75,112
117,112
117.25,112
117.5,112
117.75,112
118,112
118.25,112
118.5,112
118.75,112
119,112
119.25,112
119.5,112
119.75,112
