Time,num_cases
0,0
0.25,0
0.5,3
0.75,6
1,4
1.25,5
1.5,2
1.75,4
2,2
2.25,3
2.5,5
2.75,8
3,11
3.25,4
3.5,4
3.75,5
4,4
4.25,8
4.5,9
4.75,10
5,11
5.25,9
5.5,15
5.75,11
6,13
6.25,8
6.5,12
6.75,22
7,13
7.25,21
7.5,21
7.75,18
8,30
8.25,33
8.5,26
8.75,28
9,28
9.25,30
9.5,42
9.75,39
10,41
10.25,42
10.5,38
10.75,43
11,51
11.25,49
11.5,52
11.75,55
12,42
12.25,45
12.5,56
12.75,59
13,54
13.25,59
13.5,49
13.75,60
14,48
14.25,51
14.5,50
14.75,61
15,61
15.25,52
15.5,51
15.75,51
16,65
16.25,56
16.5,45
16.75,52
17,54
17.25,46
17.5,48
17.75,54
18,37
18.25,50
18.5,39
18.75,36
19,36
19.25,36
19.5,36
19.75,33
20,37
20.25,31
20.5,33
20.75,28
21,28
21.25,25
21.5,17
21.75,23
22,18
22.25,14
22.5,20
22.75,20
23,20
23.25,11
23.5,7
23.75,15
24,16
24.25,14
24.5,11
24.75,10
25,15
25.25,15
25.5,9
25.75,6
26,12
26.25,2
26.5,5
26.75,3
27,3
27.25,5
27.5,3
27.75,7
28,2
28.25,3
28.5,1
28.75,1
29,5
29.25,5
29.5,1
29.75,1
30,1
30.25,2
30.5,2
30.75,3
31,1
31.25,1
31.5,2
31.75,0
32,2
32.25,2
32.5,0
32.75,0
33,2
33.25,2
33.5,1
33.75,1
34,0
34.25,0
34.5,1
34.75,1
35,0
35.25,0
35.5,0
35.75,1
36,1
36.25,1
36.5,0
36.75,2
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,1
40,0
40.25,0
40.5,0
40.75,0
41,0
41.25,0
41.5,0
41.75,0
42,0
42.25,1
42.5,0
42.75,0
43,0
43.25,0
43.5,0
43.75,0
44,0
44.25,0
44.5,0
44.75,0
45,0
45.25,0
45.5,0
45.75,0
46,0
46.25,0
46.5,0
46.75,0
47,0
47.25,0
47.5,0
47.75,0
48,0
48.25,0
48.5,1
48.75,0
49,0
49.25,0
49.5,0
49.75,0
50,0
50.25,0
50.5,0
50.75,0
51,0
51.25,0
51.5,0
51.75,0
52,0
52.25,0
52.5,0
52.75,0
53,0
53.25,0
53.5,0
53.75,0
54,0
54.25,0
54.5,0
54.75,0
55,0
55.25,0
55.5,0
55.75,0
56,0
56.25,0
56.5,0
56.75,0
57,0
57.25,0
57.5,0
57.75,0
58,0
58.25,0
58.5,0
58.75,0
59,0
59.25,0
59.5,0
59.75,0
60,0
60.25,0
60.5,0
60.75,0
61,0
61.25,0
61.5,0
61.75,0
62,0
62.25,0
62.5,0
62.75,0
63,0
63.25,0
63.5,0
63.75,0
64,0
64.25,0
64.5,0
64.75,0
65,0
65.25,0
65.5,0
65.75,0
66,0
66.25,0
66.5,0
66.75,0
67,0
67.25,0
67.5,0
67.75,0
68,0
68.25,0
68.5,0
68.75,0
69,0
69.25,0
69.5,0
69.75,0
70,0
70.25,0
70.5,0
70.75,0
71,0
71.25,0
71.5,0
71.75,0
72,0
72.25,0
72.5,0
72.75,0
73,0
73.25,0
73.5,0
73.75,0
74,0
74.25,0
74.5,0
74.75,0
75,0
75.25,0
75.5,0
75.75,0
76,0
76.25,0
76.5,0
76.75,0
77,0
77.25,0
77.5,0
77.75,0
78,0
78.25,0
78.5,0
78.75,0
79,0
79.25,0
79.5,0
79.75,0
80,0
80.25,0
80.5,0
80.75,0
81,0
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0
84.5,0
84.75,0
85,0
85.25,0
85.5,0
85.75,0
86,0
86.25,0
86.5,0
86.75,0
87,0
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
